Scientific,BLFamilyLatin,BLFamilyEnglish,English,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.5Cat,ForStrat.watbelowsurf,ForStrat.wataroundsurf,ForStrat.ground,ForStrat.understory,ForStrat.midhigh,ForStrat.canopy,ForStrat.aerial,PelagicSpecialist,Nocturnal,BodyMass.Value,CU_c_spMin,CU_c_spMean,CU_c_spSD,CU_c_spMax,redList,SiTDB_trade,ED,genus,species,nsong,rangeExtent,resid.songQuality,distr_country,distr_region,distr_continent,SiTDB_trade_as_threat,logBodyMass,logRangeExtent,logAbundance,trade.binary,ForStrat.Category,Diet.FruiNect,Diet.Invertebrate,Diet.Omnivore,Diet.PlantSeed,Diet.VertFishScav,watbelowsurf,wataroundsurf,ground,understory,midhigh,canopy,aerial,popRange,popLow,popHigh
Abroscopus albogularis,Sylviidae,Old World warblers,Rufous-faced Warbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,1,0,0,0,0,0,4.84,13.98085063,28.69020941,11.78693902,48.39298541,LC,evidence,8.241215427,Abroscopus,albogularis,67,4300000,0.206178369,"BD,BT,CN,IN,LA,MM,NP,TH,TW,VN","South Asia,East Asia & Pacific",Asia,NA,0.684845362,6.633468456,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Abroscopus schisticeps,Sylviidae,Old World warblers,Black-faced Warbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0,0,1,0,0,0,4.7,18.12686571,42.75912817,23.2511456,80.45696534,LC,NA,8.241215427,Abroscopus,schisticeps,12,2160000,-0.416892577,"BT,CN,IN,MM,NP,VN","South Asia,East Asia & Pacific",Asia,NA,0.672097858,6.334453751,NA,Not trade-threatened,ForStrat.canopy,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA
Abroscopus superciliaris,Sylviidae,Old World warblers,Yellow-bellied Warbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0.8,0,0.2,0,0,0,6.48,9.741035743,20.60441153,11.98295625,44.08826098,LC,evidence,15.64057819,Abroscopus,superciliaris,88,8290000,0.232013154,"BD,BN,BT,CN,ID,IN,KH,LA,MM,MY,NP,TH,VN","South Asia,East Asia & Pacific",Asia,NA,0.811575006,6.918554531,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthagenys rufogularis,Meliphagidae,Honeyeaters,Spiny-cheeked Honeyeater,0.4,0,0,0,0.1,0,0.1,0.3,0.1,0,Omnivore,0,0,0.1,0.2,0.4,0.2,0.1,0,0,47.8,18.06676483,24.20272378,6.003498578,33.84198796,LC,evidence,11.83713841,Acanthagenys,rufogularis,70,7380000,0.095020252,AU,East Asia & Pacific,Oceania,NA,1.679427897,6.868056362,NA,Not trade-threatened,Mixed strategies,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthisitta chloris,Acanthisittidae,New Zealand wrens,Rifleman,0.9,0,0,0,0,0,0.1,0,0,0,Invertebrate,0,0,0.2,0.6,0.2,0,0,0,0,6.91,14.6061586,17.51089195,3.315313055,22.23101357,LC,NA,49.62090607,Acanthisitta,chloris,28,563000,0.076717088,NZ,East Asia & Pacific,Oceania,NA,0.839478047,5.750508395,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthiza apicalis,Acanthizidae,Thornbills and gerygones,Inland Thornbill,0.7,0,0,0,0,0,0.1,0.1,0.1,0,Invertebrate,0,0,0.4,0.4,0.2,0,0,0,0,7.62,15.27085424,20.50947267,4.712366998,27.8731147,LC,NA,11.38992905,Acanthiza,apicalis,28,5940000,0.064825717,AU,East Asia & Pacific,Oceania,NA,0.881954971,6.773786445,NA,Not trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthiza chrysorrhoa,Acanthizidae,Thornbills and gerygones,Yellow-rumped Thornbill,0.8,0,0,0,0,0,0,0,0.2,0,Invertebrate,0,0,0.8,0.2,0,0,0,0,0,9.29,8.225400123,20.69147929,10.83279078,40.57722535,LC,evidence,11.80304168,Acanthiza,chrysorrhoa,28,7440000,0.033596205,AU,East Asia & Pacific,Oceania,NA,0.968015714,6.871572936,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthiza ewingii,Acanthizidae,Thornbills and gerygones,Tasmanian Thornbill,0.8,0,0,0,0,0,0,0,0.2,0,Invertebrate,0,0,0,0.5,0.5,0,0,0,0,6.9,16.76709237,18.539239,1.627942599,21.54144088,LC,NA,8.812291483,Acanthiza,ewingii,19,134000,0.42934901,AU,East Asia & Pacific,Oceania,NA,0.838849091,5.127104798,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthiza inornata,Acanthizidae,Thornbills and gerygones,Western Thornbill,0.8,0,0,0,0,0,0,0.2,0,0,Invertebrate,0,0,0.2,0.3,0.3,0.2,0,0,0,7,9.349767822,17.07341086,4.491538714,23.26040224,LC,NA,7.948058491,Acanthiza,inornata,10,195000,0.117677737,AU,East Asia & Pacific,Oceania,NA,0.84509804,5.290034611,NA,Not trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthiza iredalei,Acanthizidae,Thornbills and gerygones,Slender-billed Thornbill,0.8,0,0,0,0,0,0,0,0.1,0.1,Invertebrate,0,0,0.5,0.5,0,0,0,0,0,6.04,8.675752929,17.67472036,5.586102371,25.97912325,LC,NA,5.379039922,Acanthiza,iredalei,2,2410000,-0.795333874,AU,East Asia & Pacific,Oceania,NA,0.781036939,6.382017043,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
